name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,OutdoorSeating,RestaurantsReservations,HasTV,RestaurantsGoodForGroups,GoodForKids,Alcohol,RestaurantsAttire,WiFi,NoiseLevel,BikeParking,Caters,has_parking,Mondayhour,Tuesdayhour,Wednesdayhour,Thursdayhour,Fridayhour,Saturdayhour,Sundayhour
Hickory Kitchen,9 W Court St,Doylestown,PA,18901,40.310409,-75.131274,4,157,0,"American (New), Southern, Restaurants, Vegetarian, Comfort Food, Barbeque, Breakfast & Brunch",TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,16:0-20:0,16:0-20:0,16:0-20:0,16:0-20:0,16:0-21:0,16:0-21:0,15:0-19:0
Cassellis Ristorante,7620 Ridge Ave,Philadelphia,PA,19128,40.1414879,-74.9846616,3.5,39,0,"Restaurants, Italian",FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE,TRUE,full_bar,casual,no,average,TRUE,TRUE,TRUE,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-23:0,17:0-23:0,15:0-21:0
Golden Bowl II Chinese Restaurant,357 Main St,Pennsburg,PA,18073,40.3988025,-75.497484,4,9,1,"Chinese, Fast Food, Restaurants",TRUE,TRUE,TRUE,,FALSE,FALSE,,,FALSE,,,,,,,FALSE,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:30,11:0-22:30,
Lees Breakfast,3152 N Broad St,Philadelphia,PA,19132,40.0014002,-75.153227,4,10,1,"Breakfast & Brunch, Restaurants",TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,beer_and_wine,casual,,,TRUE,,FALSE,6:0-14:30,6:0-14:30,6:0-14:30,6:0-14:30,6:0-14:30,6:0-14:30,
Bonks Bar,3467 Richmond St,Philadelphia,PA,19134,39.9863915,-75.0943523,4,35,1,"Seafood, Nightlife, Bars, American (Traditional), Restaurants",TRUE,None,TRUE,2,FALSE,TRUE,TRUE,TRUE,FALSE,full_bar,casual,free,quiet,TRUE,FALSE,TRUE,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
Great Shanghai Chinese Restaurant,"229 Plaza Blvd, Ste 21",Morrisville,PA,19067,40.205946,-74.802112,3.5,19,1,"Restaurants, Chinese",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,,casual,,average,TRUE,,FALSE,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:30,11:0-23:30,12:0-22:30
Dolce Ristorante,"The Market Place at Oaks, 180 C Mill Rd, Ste 500",Oaks,PA,19456,40.134635,-75.456804,2.5,13,0,"Restaurants, Ethnic Food, Food, Specialty Food, Italian",TRUE,FALSE,TRUE,3,FALSE,FALSE,,FALSE,TRUE,none,casual,,,,,TRUE,,,,,,,
Brindle Cafe,221 E Girard Ave,Philadelphia,PA,19125,39.9694475,-75.1331964,3,9,0,"Sandwiches, Restaurants, American (New)",TRUE,FALSE,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,none,casual,free,quiet,,TRUE,TRUE,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,
Master Wok,1934 Liacouras Walk,Philadelphia,PA,19122,39.982461,-75.156031,3.5,9,1,"Chinese, Restaurants",TRUE,FALSE,TRUE,1,TRUE,FALSE,TRUE,FALSE,TRUE,none,casual,no,quiet,TRUE,FALSE,FALSE,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-21:0,12:0-21:0
Tandoori Of India,1100 Jackson St,Philadelphia,PA,19148,39.922337,-75.164854,4,71,1,"Indian, Venues & Event Spaces, Desserts, Food, Salad, Halal, Event Planning & Services, Restaurants",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,FALSE,FALSE,none,,free,,TRUE,TRUE,TRUE,11:30-0:0,11:30-0:0,16:0-0:0,11:30-0:0,11:30-0:0,12:0-0:0,12:0-0:0
The Horse Tavern & Grill,1000 Old Bethlehem Pike,Sellersville,PA,18960,40.3745787,-75.3129296,3.5,58,1,"American (New), Restaurants",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,,loud,TRUE,FALSE,TRUE,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
Manhattan Bagel,3530 W Chester Pike,Newtown Square,PA,19073,39.9850436,-75.3961841,2,27,1,"Food, Sandwiches, Restaurants, Breakfast & Brunch, Bagels",TRUE,TRUE,TRUE,1,,,,,,,,,,TRUE,,TRUE,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,7:0-14:0,7:0-14:0
Via Marconis Pizza Pub,190 Forty Foot Rd,Hatfield,PA,19440,40.26738409,-75.31570716,2.5,146,1,"Restaurants, Food, Pizza, Italian",TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,FALSE,TRUE,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
Ace of Steaks,3020 S Broad St,Philadelphia,PA,19145,39.91264071,-75.1728924,4.5,31,1,"Restaurants, Cheesesteaks, Sandwiches, Burgers",TRUE,TRUE,,,TRUE,,,,,none,,,,,,FALSE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:0
Sams Restaurant & Saloon,105 S Macdade Blvd,Glenolden,PA,19036,39.9040099,-75.2944646,2,9,0,"American (Traditional), Restaurants, Nightlife",TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,no,average,,TRUE,TRUE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-23:0
The Pizza Pasta House,104 Moreland Rd,Hatboro,PA,19040,40.178969,-75.108893,2.5,5,0,"Italian, Restaurants, Pizza",TRUE,TRUE,,,,FALSE,,TRUE,TRUE,,casual,,,,,FALSE,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,11:0-21:0
Treetops Kitty Cafe,"305 W State St, Unit 3",Kennett Square,PA,19348,39.84657821,-75.71496223,4.5,10,1,"Pets, Community Service/Non-Profit, Local Services, Pet Stores, Pet Adoption, Restaurants, Cafes, Themed Cafes",FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,,,none,,free,,TRUE,FALSE,TRUE,0:0-0:0,14:0-16:0,14:0-16:0,14:0-16:0,14:0-16:0,14:0-16:0,
Anthonys at Paxon Hollow,850 Paxon Hollow Rd,Broomall,PA,19008,39.958108,-75.371118,3.5,32,1,"Event Planning & Services, Italian, Venues & Event Spaces, Restaurants, Active Life, Food, Golf",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,no,loud,TRUE,FALSE,FALSE,,,12:0-20:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-20:0
Sorrentos Pizza,1624 W Olney Ave,Philadelphia,PA,19141,40.038781,-75.149469,2.5,39,1,"Restaurants, Pizza",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,FALSE,,TRUE,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-0:0,10:0-0:0,10:0-23:0
The Pines Tavern,6217 N Radcliffe St,Bristol,PA,19007,40.11051051,-74.8369372,4,77,1,"Local Flavor, Nightlife, Bars, Restaurants, Beer, Wine & Spirits, American (New), Food, American (Traditional), Salad, Arts & Entertainment, Music Venues, Comfort Food",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,TRUE,TRUE,12:0-0:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-0:0
Rotten Ralphs,201 Chestnut St,Philadelphia,PA,19106,39.9484876,-75.1442086,2.5,200,0,"Nightlife, Restaurants, American (Traditional), Pubs, Bars",TRUE,None,TRUE,2,TRUE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,TRUE,TRUE,11:0-1:30,11:0-1:30,11:0-1:30,11:0-1:30,11:0-1:30,11:0-1:30,11:0-1:30
Swiss Haus Cafe & Pastry Bar,1740 Sansom St,Philadelphia,PA,19103,39.9507452,-75.1701679,4,261,0,"Bakeries, Kosher, Food, Restaurants, Coffee & Tea",TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,TRUE,beer_and_wine,casual,free,quiet,TRUE,TRUE,TRUE,0:0-0:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,9:0-15:0
La Colombe Coffee,130 S 19th St,Philadelphia,PA,19103,39.9506099,-75.172368,4,614,1,"Restaurants, Food, Coffee & Tea",TRUE,TRUE,TRUE,1,FALSE,,,,FALSE,,,no,average,TRUE,FALSE,TRUE,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-18:0,8:0-19:0,7:0-19:0
Five Guys Burgers and Fries,1810 Wilmington Pike,Glen Mills,PA,19342,39.86858,-75.545334,4.5,12,0,"Fast Food, Restaurants, Food, Burgers, American (New)",TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,free,average,FALSE,FALSE,TRUE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Pinocchios Restaurant,131 E Baltimore Ave,Media,PA,19063,39.91647806,-75.38673245,3.5,245,1,"Restaurants, Beer Bar, Pizza, Beer Gardens, Nightlife, Burgers, Bars",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,TRUE,TRUE,0:0-0:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-21:0,10:0-23:0,10:0-22:0
Red Owl Tavern,433 Chestnut St,Philadelphia,PA,19106,39.9492805,-75.1489288,3.5,618,1,"Breakfast & Brunch, American (New), Restaurants",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,FALSE,TRUE,0:0-0:0,11:30-15:0,11:30-15:0,11:30-22:0,11:30-22:0,17:0-22:0,8:0-15:0
La Fonda De Teresita,1446 S 8th St,Philadelphia,PA,19147,39.93048793,-75.15820295,4,43,0,"Mexican, Restaurants",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,quiet,TRUE,,FALSE,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
Arbys Roast Beef,2560 Aramingo Ave,Philadelphia,PA,19125,39.97881699,-75.11911481,2.5,19,1,"Sandwiches, American (Traditional), Fast Food, Restaurants",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,,loud,FALSE,None,TRUE,,,,,,,
QDOBA Mexican Eats,1991 Sproul Rd,Broomall,PA,19008,39.959576,-75.3550187,3.5,22,1,"Mexican, Caterers, Event Planning & Services, Fast Food, Restaurants",TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,TRUE,TRUE,none,casual,,average,TRUE,TRUE,FALSE,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,11:0-20:0,10:30-23:0,10:30-22:0
Vincents Pizza,412 Huntingdon Pike,Rockledge,PA,19046,40.0815646,-75.0913419,4,82,1,"Sandwiches, Pizza, Restaurants, Salad",TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,FALSE,FALSE,FALSE,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,
College Pizza/College Cafe,4145 Chestnut St,Philadelphia,PA,19104,39.9563712,-75.2061225,3,7,0,"Pizza, Restaurants",TRUE,TRUE,TRUE,2,FALSE,FALSE,,TRUE,TRUE,none,casual,,,,,FALSE,6:0-3:0,6:0-3:0,6:0-3:0,6:0-3:0,6:0-3:0,6:0-3:0,6:0-3:0
Country Chefs Kitchen,1446 N Gravel Pike,Perkiomenville,PA,18074,40.3014151,-75.4805553,4,16,1,"Breakfast & Brunch, Restaurants",,FALSE,FALSE,2,,FALSE,,TRUE,TRUE,,casual,,,TRUE,,FALSE,6:30-13:30,6:30-13:30,6:30-13:30,6:30-13:30,6:30-13:30,7:30-13:30,7:30-13:30
Burger Lane,2805 N 22nd St,Philadelphia,PA,19132,39.9973553,-75.1669794,2,14,1,"Restaurants, Burgers",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,very_loud,FALSE,TRUE,TRUE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
Ricky Cafe,2-4 N 32nd St,Philadelphia,PA,19104,39.95559277,-75.18858433,4,5,1,"American (New), Sandwiches, Food, Restaurants, Street Vendors, Breakfast & Brunch",TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,FALSE,,,,,,,
Chriss Sandwich Shop,1531 W Wynnewood Rd,Ardmore,PA,19003,39.9972988,-75.2922074,4.5,32,0,"American (Traditional), Restaurants, Pizza, Sandwiches, Meat Shops, Food, Wraps, Delis, Specialty Food, Salad",TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,quiet,TRUE,TRUE,TRUE,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
Romanos Pizza Express,2901 N 5th St,Philadelphia,PA,19133,39.9952251,-75.1393742,2.5,24,1,"Restaurants, Pizza",TRUE,TRUE,TRUE,1,,FALSE,,,TRUE,,casual,no,,,,FALSE,11:0-22:45,11:0-22:45,11:0-11:15,11:0-0:0,11:0-0:0,11:0-0:0,11:0-23:0
Phillys Finest Pizza,7962 Dungan Rd,Philadelphia,PA,19111,40.0681765,-75.068702,4.5,23,1,"Restaurants, Pizza",TRUE,TRUE,TRUE,,,TRUE,TRUE,,,none,,free,,,TRUE,TRUE,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
Bertuccis,711 S Trooper Rd,Norristown,PA,19403,40.1268066,-75.4063732,2.5,39,0,"Restaurants, Italian, Pizza",TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,TRUE,full_bar,casual,free,average,FALSE,TRUE,TRUE,0:0-0:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-23:0,11:30-22:0,11:30-20:0
Philly Dawgz,3240 N Broad St,Philadelphia,PA,19140,40.0022087,-75.1527447,4,5,0,"Restaurants, Hot Dogs, American (Traditional)",TRUE,FALSE,TRUE,1,FALSE,FALSE,,TRUE,TRUE,none,casual,free,average,,FALSE,FALSE,,,,,,,
MexiCali,38th & Walnut,Philadelphia,PA,19104,39.95494007,-75.20230249,4.5,50,1,"Mexican, Food Trucks, Restaurants, Food",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,no,average,TRUE,FALSE,FALSE,,,,,,,
Subway,1936 Liacouras Walk,Philadelphia,PA,19122,39.98244436,-75.15591027,1.5,6,1,"Sandwiches, Restaurants, Fast Food",TRUE,TRUE,TRUE,1,TRUE,,FALSE,,,none,,no,,TRUE,TRUE,FALSE,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
R2L,"50 S 16th St, Fl 37",Philadelphia,PA,19102,39.95161726,-75.16719046,3.5,787,0,"American (New), Lounges, Nightlife, Cocktail Bars, Bars, Restaurants",TRUE,FALSE,TRUE,3,FALSE,TRUE,TRUE,TRUE,FALSE,full_bar,dressy,free,average,FALSE,FALSE,TRUE,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:30,17:0-22:30,17:0-21:0
Romanos Pizza,104 W Moreland Ave,Hatboro,PA,19040,40.1789324,-75.1088765,4,5,0,"Cheesesteaks, Chicken Wings, Pizza, Restaurants, Italian",,,,,,,,,,,,,,,,FALSE,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,
Dairy Queen,710 N Lansdowne Ave,Drexel Hill,PA,19026,39.9584733,-75.2875789,2.5,24,1,"Ice Cream & Frozen Yogurt, Food, Restaurants, Fast Food, Burgers",TRUE,TRUE,TRUE,1,None,FALSE,TRUE,TRUE,TRUE,,casual,no,,TRUE,FALSE,TRUE,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0
Feltonville Express Pizza,4812 Rising Sun Ave,Philadelphia,PA,19120,40.0236527,-75.1243229,2,26,1,"Restaurants, Pizza",TRUE,TRUE,TRUE,1,FALSE,,TRUE,TRUE,TRUE,none,casual,free,,FALSE,,FALSE,9:0-23:30,9:0-23:30,,9:0-23:30,9:0-0:30,9:0-0:30,9:0-22:30
500 Degrees,1504 Sansom St,Philadelphia,PA,19102,39.9503631,-75.1662246,3.5,443,0,"Food, Burgers, Restaurants",TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,11:0-21:0,11:0-21:0,11:0-23:0,11:0-3:0,11:0-3:0,11:0-3:0,
Uptowne Deli,1007 N Easton Rd,Doylestown,PA,18901,40.3524916,-75.1371622,4.5,19,1,"Breakfast & Brunch, Delis, Pizza, Restaurants",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,,quiet,FALSE,TRUE,TRUE,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-16:0,
Outback Steakhouse,125 E Swedesford Rd,Wayne,PA,19087,40.07344119,-75.43011189,3,42,0,"Restaurants, American (New), Steakhouses",TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,no,average,FALSE,TRUE,TRUE,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-22:0,8:0-22:0,
Justins Snack Corner,601 S 52nd St,Philadelphia,PA,19143,39.9502962,-75.2266546,4.5,7,1,"Burgers, Restaurants, Steakhouses, Breakfast & Brunch",TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,none,,no,,FALSE,FALSE,TRUE,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,
Taqueria el Jalapeno,122 E 4th St,Bridgeport,PA,19405,40.1048652,-75.3372058,4,21,1,"Mexican, Restaurants",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,FALSE,TRUE,beer_and_wine,,,,,TRUE,TRUE,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,9:0-22:0,9:0-22:0
La Marqueza - Food Truck,Spring Garden St,Philadelphia,PA,19130,39.96100845,-75.16669891,4.5,23,1,"Mexican, Breakfast & Brunch, Food Trucks, Street Vendors, Restaurants, Food Stands, Food",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,,,,,,,
Orchard Smoothie and Cafe,1200  S Federal St,Philadelphia,PA,19146,39.9349405,-75.1636927,3,34,1,"Cafes, Restaurants, Food, Juice Bars & Smoothies",TRUE,TRUE,,,,,,,,,,free,,,,FALSE,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
Bernies Restaurant & Bar - Hatboro,58 S York Rd,Hatboro,PA,19040,40.1757653,-75.1069665,3,201,1,"American (New), Restaurants, Nightlife, Pizza, American (Traditional), Bars",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,TRUE,TRUE,0:0-0:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,10:0-2:0,10:0-2:0
Bake 425,1012 W Lancaster Ave,Bryn Mawr,PA,19010,40.0235569,-75.323375,4,14,0,"Pizza, Food, Restaurants",TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,,quiet,,,TRUE,,,,,,,
Marty Magees,1110 Lincoln Ave,Prospect Park,PA,19076,39.8875419,-75.3101278,4,20,1,"Restaurants, American (Traditional)",TRUE,FALSE,TRUE,1,TRUE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,no,average,TRUE,FALSE,FALSE,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0
Giovannis Pizzeria,5604 Greene St,Philadelphia,PA,19144,40.0334795,-75.1758562,2.5,46,1,"Restaurants, Sandwiches, Italian, Pizza",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,quiet,TRUE,FALSE,FALSE,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0
Liberty Bar & Grill,2204 Market St,Philadelphia,PA,19103,39.95382309,-75.17698669,4,69,0,"Nightlife, Dance Clubs, Bars, Restaurants, American (New), Dive Bars, Pubs, Sports Bars, Food, Beer, Wine & Spirits",TRUE,None,TRUE,2,TRUE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,TRUE,TRUE,11:0-0:30,11:0-0:30,11:0-0:30,11:0-2:0,11:0-2:0,12:0-2:0,12:0-22:0
Otolith Sustainable Seafood,2133 Huntingdon St,Philadelphia,PA,19125,39.9842403,-75.123013,5,10,1,"Seafood Markets, Specialty Food, Restaurants, Food, Seafood, Grocery",TRUE,TRUE,TRUE,2,FALSE,TRUE,,TRUE,TRUE,none,casual,,average,,,TRUE,,,,15:0-18:0,15:0-18:0,15:0-18:0,15:0-18:0
Gelato Irpino Media,114 S Olive St,Media,PA,19063,39.91786555,-75.39127835,4.5,6,1,"Gelato, Restaurants, Food, Fish & Chips, Pizza",TRUE,,TRUE,1,,,,,,,,,,,,FALSE,,,,,,,
Binni & Flynns,575 Lancaster Ave,Berwyn,PA,19312,40.018044,-75.310483,2.5,25,0,"Restaurants, Tex-Mex, Mexican",TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,TRUE,TRUE,full_bar,casual,no,average,,TRUE,TRUE,,,,,,,
Super Wok,778 E Johnson Hwy,Norristown,PA,19409,40.124835,-75.3167966,3.5,52,1,"Restaurants, Chinese",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,FALSE,,TRUE,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:30,11:0-23:30,12:0-22:30
Wawa,201 S Broad St,Philadelphia,PA,19107,39.949233,-75.164075,3,79,0,"Sandwiches, Food, Gas Stations, Restaurants, Coffee & Tea, Automotive, Convenience Stores",TRUE,TRUE,TRUE,1,,FALSE,TRUE,TRUE,TRUE,,casual,,,TRUE,TRUE,TRUE,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0
Paxia,746 Christian St,Philadelphia,PA,19147,39.9384421,-75.1561233,3.5,7,0,"Mexican, Restaurants, Food",TRUE,FALSE,TRUE,2,TRUE,TRUE,,TRUE,TRUE,none,casual,,,,,TRUE,17:0-22:0,,17:0-22:0,17:0-22:0,17:0-23:0,11:0-23:0,11:0-22:0
Ippolitos Seafood,3400 S Lawrence St,Philadelphia,PA,19148,39.9049727,-75.1588247,4,101,1,"Food, Grocery, Specialty Food, Sandwiches, American (Traditional), Butcher, Fish & Chips, Seafood Markets, Restaurants, Seafood, Salad",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,no,average,TRUE,TRUE,TRUE,0:0-0:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,9:0-16:0,
Johnny Rockets,443 South St,Philadelphia,PA,19147,39.9419525,-75.1505858,2.5,110,0,"Burgers, American (Traditional), American (New), Restaurants, Sandwiches, Fast Food",TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:30-19:0
Chans Halal Restaurant,5500 Lancaster Ave,Philadelphia,PA,19131,39.9798334,-75.232945,3,44,1,"Asian Fusion, Chinese, Restaurants, Halal",TRUE,TRUE,TRUE,2,,FALSE,TRUE,FALSE,TRUE,,casual,free,,,,FALSE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-22:0
Tom Jones Family Restaurant,4417 Edgmont Ave,Brookhaven,PA,19015,39.8743053,-75.3912868,3.5,106,1,"Restaurants, Diners, Breakfast & Brunch, American (Traditional)",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,FALSE,FALSE,TRUE,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30,5:0-22:30,5:0-22:30
Kriscroix Restaurant,198 Lincoln Hw,Fairless Hills,PA,19030,40.1838621,-74.8566693,4.5,22,0,"Fish & Chips, Restaurants, Seafood, Chicken Wings, Bars, Nightlife, Beer, Wine & Spirits, American (Traditional), Food",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,,average,,TRUE,TRUE,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,
Trio Breakfast & Lunch,5548 Wayne Ave,Philadelphia,PA,19144,40.03145806,-75.17884764,3,35,1,"Restaurants, Chinese, American (Traditional), Fast Food, Breakfast & Brunch",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,loud,TRUE,FALSE,FALSE,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,
Nicos Pizza,416 Town Ctr,New Britain,PA,18901,40.29672045,-75.19049516,4,26,1,"Restaurants, Italian, Pizza",TRUE,TRUE,TRUE,2,None,FALSE,TRUE,FALSE,TRUE,none,casual,,,TRUE,,FALSE,0:0-0:0,10:0-21:30,10:0-21:30,10:0-21:30,10:0-22:0,10:0-22:0,11:0-21:0
Plate Restaurant and Bar,105 Coulter Ave,Ardmore,PA,19003,40.0080688,-75.2880533,2.5,61,0,"Restaurants, American (New)",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,no,average,,FALSE,TRUE,,,,,,,
Buhos Latin Fusion & Bar,101 Bridge St,Phoenixville,PA,19460,40.1345197,-75.5132178,3.5,60,0,"Latin American, Bars, Restaurants, Mexican, Nightlife",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,TRUE,TRUE,16:30-21:0,16:30-21:0,16:30-21:0,16:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0
Panera Bread,2605 Street Rd,Bensalem,PA,19020,40.10909369,-74.95125577,3,47,1,"American (New), Restaurants, Bakeries, Food, Sandwiches, Soup, Salad, Bagels, Breakfast & Brunch",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,FALSE,TRUE,TRUE,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
